"Rule title","level","id (hayabusa_rule)"
"Potential RemoteFXvGPUDisablement.EXE Abuse","high","29a3935d-0428-4f39-d39e-ec43c598b272"
"Suspicious Non PowerShell WSMAN COM Provider","medium","aedc0f64-b9e7-36d1-fd92-838fdf33eac3"
"Zip A Folder With PowerShell For Staging In Temp - PowerShell","medium","ee9681d0-6ba5-5eaf-9c8b-fe39afe542b9"
"Suspicious PowerShell Download","medium","12f93a4e-cd0e-18d7-6969-b345ecc8d40a"
"Suspicious PowerShell Invocations - Generic","high","391b98f2-3f42-0d06-a295-18a2aa29d39a"
"SyncAppvPublishingServer Execution to Bypass Powershell Restriction","medium","349e3bb4-b72b-193d-810e-7d9c145b863e"
"Suspicious PowerShell Invocations - Specific","high","3db961f4-6217-4957-b717-e5955c82d6e5"
"PwSh Pipeline Exec","informational","d3fb8f7b-88b0-4ff4-bf9b-ca286ce19031"
"Local Firewall Rules Enumeration Via NetFirewallRule Cmdlet","low","81b7f962-1b39-9a15-eca7-f718f8e45e85"
"Potential RemoteFXvGPUDisablement.EXE Abuse","high","29a3935d-0428-4f39-d39e-ec43c598b272"
"Suspicious Non PowerShell WSMAN COM Provider","medium","aedc0f64-b9e7-36d1-fd92-838fdf33eac3"
"Zip A Folder With PowerShell For Staging In Temp - PowerShell","medium","ee9681d0-6ba5-5eaf-9c8b-fe39afe542b9"
"Invoke-Obfuscation VAR+ Launcher - PowerShell Module","high","61ec8448-ba5d-0b4f-8089-eb047d43a2ec"
"Invoke-Obfuscation Obfuscated IEX Invocation - PowerShell Module","high","b21405ff-2071-082b-067f-fa116d28a858"
"Suspicious Computer Machine Password by PowerShell","medium","31981511-e5c7-fa6d-65dd-422e26ba8f0d"
"Suspicious PowerShell Download - PoshModule","medium","3a7c8368-70ba-0539-d7a9-662a59306969"
"Malicious PowerShell Commandlets - PoshModule","high","36554b35-d185-3e51-6b7f-9b61726b8d3a"
"Suspicious PowerShell Invocations - Specific - PowerShell Module","high","da4a803e-e609-d187-675c-d7e7f0083763"
"Use Get-NetTCPConnection - PowerShell Module","low","8485a923-ab47-503c-8823-f930f71f83a1"
"PowerShell Decompress Commands","informational","e4ba78e1-d659-9152-8504-cae6d6c7372e"
"Potential RemoteFXvGPUDisablement.EXE Abuse - PowerShell Module","high","c2325f35-edc7-9b45-d0bc-548ab4074e0a"
"Bad Opsec Powershell Code Artifacts","critical","118c017d-54bd-d0a7-e24e-74482fd67b54"
"AD Groups Or Users Enumeration Using PowerShell - PoshModule","low","f3c1031c-796c-6c50-7af9-c490e09550f6"
"Invoke-Obfuscation Via Use Clip - PowerShell Module","high","d1ec8808-93c9-9dcb-b4b8-b20791287ee2"
"Clear PowerShell History - PowerShell Module","medium","5dea4020-38c8-b6d5-ebdb-2a7cfa20044e"
"Invoke-Obfuscation Via Use Rundll32 - PowerShell Module","high","acb9f9fe-df3e-be2a-239f-51b194099630"
"HackTool - Evil-WinRm Execution - PowerShell Module","high","a0ecd6f3-309d-3ad0-2231-421f98a89f32"
"Zip A Folder With PowerShell For Staging In Temp  - PowerShell Module","medium","a707acca-c4f5-6929-a1fc-0908ab087be0"
"Invoke-Obfuscation RUNDLL LAUNCHER - PowerShell Module","medium","567da8d6-9387-9852-16ed-a336bfaad91e"
"PowerShell Get Clipboard","medium","8ed7f4b3-91aa-4c85-95e8-a361f9004b2e"
"Invoke-Obfuscation COMPRESS OBFUSCATION - PowerShell Module","medium","93fea8ea-89ab-d08a-3904-a6949999010c"
