"title","level","id (hayabusa_rule)"
"Potential Credential Dumping Via WER - Application","high","fcc29ed2-c7fa-1b44-6db4-de352c7cf1b8"
"Microsoft Malware Protection Engine Crash","high","24cdd840-5da1-6c12-5b58-4da49cc4b11a"
"Backup Catalog Deleted","medium","9abb29b7-6fca-9563-2f87-11926d64e17d"
"Ntdsutil Abuse","medium","b8d0d560-906d-670f-cd10-32ed9179f21a"
"Dump Ntds.dit To Suspicious Location","medium","a050e701-373d-fc52-c345-8fbf933e1b82"
"MSSQL XPCmdshell Option Change","high","11635209-eef1-b93a-98bf-33b80e5065a1"
"MSSQL Server Failed Logon From External Network","medium","2aec0e1c-e7f6-3837-d7f2-ee1c5cac7032"
"MSSQL SPProcoption Set","high","824a7eb7-81e3-6b27-2ede-6fd2d58348b4"
"MSSQL XPCmdshell Suspicious Execution","high","bc1445fe-1749-b913-f147-64575e1d9ac1"
"MSSQL Disable Audit Settings","high","e485c12e-8840-1b24-61f7-697e480d63b1"
"MSSQL Server Failed Logon","low","03e217c6-de25-3afa-3833-6c534a6576f0"
"MSSQL Add Account To Sysadmin Role","high","d17d99ad-18e9-67e1-6163-054f210fee16"
"Atera Agent Installation","high","655bf214-78ac-5d4f-27ac-4e0ede9b68a5"
"Application Uninstalled","low","33c276a1-2475-2f1f-aa3d-ec5d61dbe94c"
"MSI Installation From Web","medium","1af7877b-8512-f49c-c11e-a048888c68fa"
"MSI Installation From Suspicious Locations","medium","96acd930-342e-66ca-9855-1285ba8a40ed"
"Remote Access Tool - ScreenConnect File Transfer","low","98bb59e9-ce78-f18f-8355-8a6750afb314"
"Remote Access Tool - ScreenConnect Command Execution","low","8df2af03-bf29-1ee2-5e6e-476326c561d7"
"Audit CVE Event","critical","f1c99d55-8f38-1ae5-19b6-71d4124f4c46"
"Restricted Software Access By SRP","high","2ebb1619-89c0-1a11-2b58-53ef8c2cb863"
"Relevant Anti-Virus Signature Keywords In Application Log","high","b0f698cd-af36-2a37-ce9f-2ab614a8b808"
