"Category","SubCategory","RuleCount","RuleCountByLevel","Enabled","Default","Recommended","Volume","Note"
"Application","","30","critical:, high:16, medium:7, low:5, info:0","True","Enabled. 20 MB","Enabled. 128 MB+","",""
"Applocker","","1","critical:0, high:0, medium:, low:0, info:0","True","Enabled if AppLocker is enabled? 1 MB","Enabled. 256 MB+","",""
"Bits-Client Operational","","8","critical:0, high:3, medium:2, low:2, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"CodeIntegrity Operational","","10","critical:0, high:9, medium:0, low:, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"Diagnosis-Scripted Operational","","1","critical:0, high:, medium:0, low:0, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"DriverFrameworks-UserMode Operational","","2","critical:0, high:0, medium:0, low:, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"Firewall","","9","critical:0, high:2, medium:3, low:4, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"Microsoft-Windows-NTLM/Operational","","1","critical:0, high:, medium:0, low:0, info:0","True","Enabled. 1 MB","This log is recommended to enable if you want to disable NTLM authentication","",""
"PowerShell","Classic","21","critical:0, high:5, medium:11, low:4, info:0","True","Enabled. 15 MB","Enabled","",""
"PowerShell","Module","43","critical:, high:20, medium:15, low:5, info:2","False","No Auditing","Enabled","High",""
"PowerShell","ScriptBlock","194","critical:3, high:66, medium:100, low:24, info:0","False","If a script is flagged as suspicious by AMSI","Enabled","High",""
"PrintService","PrintService Admin","1","critical:0, high:, medium:0, low:0, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"PrintService","PrintService Operational","1","critical:, high:0, medium:0, low:0, info:0","True","Enabled. 1 MB","Enabled. 256 MB+","",""
"Security Advanced (Account Logon)","Credential Validation","7","critical:0, high:2, medium:4, low:0, info:0","False","Client OS: No Auditing | Server OS: Success","Client and Server OSes: Success and Failure","Depends on NTLM usage. Could be high on DCs and low on clients and servers.",""
"Security Advanced (Account Logon)","Kerberos Authentication Service","7","critical:0, high:2, medium:4, low:0, info:0","False","Client OS: No Auditing | Server OS: Success","Client OS: No Auditing | Server OS: Success and Failure","High",""
"Security Advanced (Account Logon)","Kerberos Service Ticket Operations","5","critical:0, high:, medium:3, low:0, info:0","False","Client OS: No Auditing | Server OS: Success","Domain Controllers: Success and Failure","High",""
"Security Advanced (Account Management)","Computer Account Management","4","critical:0, high:, medium:, low:, info:0","False","Client OS: No Auditing | Server OS: Success","Domain Controllers: Success and Failure","High",""
"Security Advanced (Account Management)","Other Account Management Events","0","critical:0, high:0, medium:0, low:0, info:0","False","No Auditing","Success and Failure","Low",""
"Security Advanced (Account Management)","Security Group Management","12","critical:0, high:5, medium:2, low:5, info:0","True","No Auditing","Success and Failure","Low",""
"Security Advanced (Account Management)","User Account Management","13","critical:0, high:7, medium:4, low:2, info:0","True","No Auditing","Success and Failure","Low",""
"Security Advanced (Detailed Tracking)","Plug and Play Events","2","critical:0, high:0, medium:, low:, info:0","False","No Auditing","Success and Failure","Low",""
"Security Advanced (Detailed Tracking)","Process Creation","1302","critical:70, high:618, medium:532, low:79, info:3","False","No Auditing","Success and Failure if sysmon is not configured","High",""
"Security Advanced (Detailed Tracking)","Process Termination","1","critical:0, high:, medium:0, low:0, info:0","False","No Auditing","No Auditing unless you want to track the lifespan of processes","High",""
