"title","level","service","category","description","id"
"MSI Install","informational","application","","Windows Installer installed software via an MSI file.
%Data[1]%: Product Name
%Data[2]%: Product Version
%Data[3]%: Product Language in LCID format. (Ex: 1033 for English)
%Data[4]%: Installation status code. 0 means success.
%Data[5]%: Vendor
%Data[6]%: Not sure.
Binary: Not sure how to decode.
","ef118d4d-ef83-40a7-bb27-2bb3945473ee"
"MSI Installation From Web","medium","application","","Detects installation of a remote msi file from web.","1af7877b-8512-f49c-c11e-a048888c68fa"
"Atera Agent Installation","high","application","","Detects successful installation of Atera Remote Monitoring & Management (RMM) agent as recently found to be used by Conti operators","655bf214-78ac-5d4f-27ac-4e0ede9b68a5"
"Application Uninstalled","low","application","","An application has been removed. Check if it is critical.","33c276a1-2475-2f1f-aa3d-ec5d61dbe94c"
"MSI Installation From Suspicious Locations","medium","application","","Detects MSI package installation from suspicious locations","96acd930-342e-66ca-9855-1285ba8a40ed"
"Microsoft Malware Protection Engine Crash","high","application","","This rule detects a suspicious crash of the Microsoft Malware Protection Engine","24cdd840-5da1-6c12-5b58-4da49cc4b11a"
"Potential Credential Dumping Via WER - Application","high","application","","Detects Windows error reporting event where the process that crashed is lsass. This could be the cause of an intentional crash by techniques such as Lsass-Shtinkering to dump credential","fcc29ed2-c7fa-1b44-6db4-de352c7cf1b8"
"MSSQL Server Failed Logon From External Network","medium","application","","Detects failed logon attempts from clients with external network IP to an MSSQL server. This can be a sign of a bruteforce attack.","2aec0e1c-e7f6-3837-d7f2-ee1c5cac7032"
"MSSQL SPProcoption Set","high","application","","Detects when the a stored procedure is set or cleared for automatic execution in MSSQL. A stored procedure that is set to automatic execution runs every time an instance of SQL Server is started","824a7eb7-81e3-6b27-2ede-6fd2d58348b4"
"MSSQL Add Account To Sysadmin Role","high","application","","Detects when an attacker tries to backdoor the MSSQL server by adding a backdoor account to the sysadmin fixed server role","d17d99ad-18e9-67e1-6163-054f210fee16"
"MSSQL Disable Audit Settings","high","application","","Detects when an attacker calls the ""ALTER SERVER AUDIT"" or ""DROP SERVER AUDIT"" transaction in order to delete or disable audit logs on the server","e485c12e-8840-1b24-61f7-697e480d63b1"
"MSSQL XPCmdshell Suspicious Execution","high","application","","Detects when the MSSQL ""xp_cmdshell"" stored procedure is used to execute commands","bc1445fe-1749-b913-f147-64575e1d9ac1"
"MSSQL Server Failed Logon","low","application","","Detects failed logon attempts from clients to MSSQL server.","03e217c6-de25-3afa-3833-6c534a6576f0"
