"title","level","service","category","description","id"
"Possible DC Shadow Attack","medium","security","","Detects DCShadow via create new SPN","c800ccd5-5818-b0f5-1a12-f9c8bc24a433"
"Active Directory User Backdoors","high","security","","Detects scenarios where one can control another users or computers account without having to use their credentials.","c9123898-04d5-2d3b-5e2b-7c0c92111480"
"Device Installation Blocked","medium","security","","Detects an installation of a device that is forbidden by the system policy","53f7ff98-38dd-f02c-0658-1debbf8deddc"
"External Disk Drive Or USB Storage Device Was Recognized By The System","low","security","","Detects external disk drives or plugged-in USB devices.","eab514f7-3f9b-a705-4d1d-8fee3d81c4b5"
"Windows Kernel and 3rd-Party Drivers Exploits Token Stealing","high","","process_creation","Detection of child processes spawned with SYSTEM privileges by parents with non-SYSTEM privileges and Medium integrity level","d85240fc-d5ad-8061-a795-9eaea580fbf0"
"DNSCat2 Powershell Implementation Detection Via Process Creation","high","","process_creation","The PowerShell implementation of DNSCat2 calls nslookup to craft queries. Counting nslookup processes spawned by PowerShell will show hundreds or thousands of instances if PS DNSCat2 is active locally.","d5482c32-a04b-a0a2-4262-064908b098a3"
"Quick Execution of a Series of Suspicious Commands","low","","process_creation","Detects multiple suspicious process in a limited timeframe","53facd0f-d88d-bab7-469e-a36211463245"
"MSI Spawned Cmd and Powershell Spawned Processes","high","","process_creation","This rule looks for Windows Installer service (msiexec.exe) spawning command line and/or powershell that spawns other processes","ca51d442-0a18-77d6-66b8-6f72ef1dc3bd"
"Reconnaissance Activity Using BuiltIn Commands","medium","","process_creation","Detects execution of a set of builtin commands often used in recon stages by different attack groups","e7ce8bbd-3976-853e-eb57-e2ca8dcbf67c"
"Driver/DLL Installation Via Odbcconf.EXE","medium","","process_creation","Detects execution of ""odbcconf"" with ""INSTALLDRIVER"" which installs a new ODBC driver. Attackers abuse this to install and run malicious DLLs.","adc0be0e-1fd7-a7d2-38cd-74c936dcd78f"
"Remote CHM File Download/Execution Via HH.EXE","high","","process_creation","Detects the usage of ""hh.exe"" to execute/download remotely hosted "".chm"" files.","e3cb371f-ecf2-9b45-e6ff-67bb63f48a48"
