"title","level","service","category","description","id"
"MSI Install","informational","application","","Windows Installer installed software via an MSI file.
%Data[1]%: Product Name
%Data[2]%: Product Version
%Data[3]%: Product Language in LCID format. (Ex: 1033 for English)
%Data[4]%: Installation status code. 0 means success.
%Data[5]%: Vendor
%Data[6]%: Not sure.
Binary: Not sure how to decode.
","ef118d4d-ef83-40a7-bb27-2bb3945473ee"
"Microsoft Malware Protection Engine Crash - WER","high","application","","This rule detects a suspicious crash of the Microsoft Malware Protection Engine","ea429061-e3b4-fabd-8bd6-cb98772aeeba"
"Suspicious Usage of CVE_2021_34484 or CVE 2022_21919","low","application","","During exploitation of this vulnerability, two logs (Provider_Name:Microsoft-Windows-User Profiles Service) with EventID 1511 and 1515 (maybe lot of false positives with this event) are created. Moreover, it appears the directory \Users\TEMP is created may be created during the exploitation. Viewed on 2008 Server","17e91768-3a0f-6d5f-bc0d-7f2d22391909"
"CVE-2020-0688 Exploitation via Eventlog","high","application","","Detects the exploitation of Microsoft Exchange vulnerability as described in CVE-2020-0688","b1a2ae27-889c-aa26-1bd3-21f277008048"
"CVE-2024-49113 Exploitation Attempt - LDAP Nightmare","high","application","","Detects exploitation attempt of CVE-2024-49113 known as LDAP Nightmare, based on ""Application Error"" log where the faulting application is ""lsass.exe"" and the faulting module is ""WLDAP32.dll"".
","1117f6c7-1c68-9c6e-c3e8-191e9d687387"
"MSMQ Corrupted Packet Encountered","high","application","","Detects corrupted packets sent to the MSMQ service. Could potentially be a sign of CVE-2023-21554 exploitation","0bcc2c11-231f-f491-7985-3571fee7f2c5"
"CVE-2023-40477 Potential Exploitation - WinRAR Application Crash","medium","application","","Detects a crash of ""WinRAR.exe"" where the version is lower than 6.23. This could indicate potential exploitation of CVE-2023-40477","f33feae7-db95-01a2-c35f-a6361e690ebb"
"LPE InstallerFileTakeOver PoC CVE-2021-41379","high","application","","Detects PoC tool used to exploit LPE vulnerability CVE-2021-41379","8e38887f-8e20-477d-26c1-0862951ae91b"
"MSSQL Extended Stored Procedure Backdoor Maggie","high","application","","This rule detects the execution of the extended storage procedure backdoor named Maggie in the context of Microsoft SQL server","e177969a-73cc-a32c-b948-cb580287057a"
"MSSQL Server Failed Logon","low","application","","Detects failed logon attempts from clients to MSSQL server.","03e217c6-de25-3afa-3833-6c534a6576f0"
"MSSQL XPCmdshell Suspicious Execution","high","application","","Detects when the MSSQL ""xp_cmdshell"" stored procedure is used to execute commands","bc1445fe-1749-b913-f147-64575e1d9ac1"
"MSSQL Server Failed Logon From External Network","medium","application","","Detects failed logon attempts from clients with external network IP to an MSSQL server. This can be a sign of a bruteforce attack.","2aec0e1c-e7f6-3837-d7f2-ee1c5cac7032"
"MSSQL XPCmdshell Option Change","high","application","","Detects when the MSSQL ""xp_cmdshell"" stored procedure setting is changed.
","11635209-eef1-b93a-98bf-33b80e5065a1"
"MSSQL Add Account To Sysadmin Role","high","application","","Detects when an attacker tries to backdoor the MSSQL server by adding a backdoor account to the sysadmin fixed server role","d17d99ad-18e9-67e1-6163-054f210fee16"
"MSSQL Disable Audit Settings","high","application","","Detects when an attacker calls the ""ALTER SERVER AUDIT"" or ""DROP SERVER AUDIT"" transaction in order to delete or disable audit logs on the server","e485c12e-8840-1b24-61f7-697e480d63b1"
"MSSQL SPProcoption Set","high","application","","Detects when the a stored procedure is set or cleared for automatic execution in MSSQL. A stored procedure that is set to automatic execution runs every time an instance of SQL Server is started","824a7eb7-81e3-6b27-2ede-6fd2d58348b4"
"Potential Credential Dumping Via WER - Application","high","application","","Detects Windows error reporting event where the process that crashed is lsass. This could be the cause of an intentional crash by techniques such as Lsass-Shtinkering to dump credential","fcc29ed2-c7fa-1b44-6db4-de352c7cf1b8"
"Microsoft Malware Protection Engine Crash","high","application","","This rule detects a suspicious crash of the Microsoft Malware Protection Engine","24cdd840-5da1-6c12-5b58-4da49cc4b11a"
"Remote Access Tool - ScreenConnect Command Execution","low","application","","Detects command execution via ScreenConnect RMM","8df2af03-bf29-1ee2-5e6e-476326c561d7"
"Remote Access Tool - ScreenConnect File Transfer","low","application","","Detects file being transferred via ScreenConnect RMM","98bb59e9-ce78-f18f-8355-8a6750afb314"
"Restricted Software Access By SRP","high","application","","Detects restricted access to applications by the Software Restriction Policies (SRP) policy","2ebb1619-89c0-1a11-2b58-53ef8c2cb863"
"Relevant Anti-Virus Signature Keywords In Application Log","high","application","","Detects potentially highly relevant antivirus events in the application log based on known virus signature names and malware keywords.
","b0f698cd-af36-2a37-ce9f-2ab614a8b808"
"Backup Catalog Deleted","medium","application","","Detects backup catalog deletions","9abb29b7-6fca-9563-2f87-11926d64e17d"
"Atera Agent Installation","high","application","","Detects successful installation of Atera Remote Monitoring & Management (RMM) agent as recently found to be used by Conti operators","655bf214-78ac-5d4f-27ac-4e0ede9b68a5"
"Application Uninstalled","low","application","","An application has been removed. Check if it is critical.","33c276a1-2475-2f1f-aa3d-ec5d61dbe94c"
"MSI Installation From Web","medium","application","","Detects installation of a remote msi file from web.","1af7877b-8512-f49c-c11e-a048888c68fa"
"MSI Installation From Suspicious Locations","medium","application","","Detects MSI package installation from suspicious locations","96acd930-342e-66ca-9855-1285ba8a40ed"
"Ntdsutil Abuse","medium","application","","Detects potential abuse of ntdsutil to dump ntds.dit database","b8d0d560-906d-670f-cd10-32ed9179f21a"
"Dump Ntds.dit To Suspicious Location","medium","application","","Detects potential abuse of ntdsutil to dump ntds.dit database to a suspicious location","a050e701-373d-fc52-c345-8fbf933e1b82"
"Audit CVE Event","critical","application","","Detects events generated by user-mode applications when they call the CveEventWrite API when a known vulnerability is trying to be exploited.
MS started using this log in Jan. 2020 with CVE-2020-0601 (a Windows CryptoAPI vulnerability.
Unfortunately, that is about the only instance of CVEs being written to this log.
","f1c99d55-8f38-1ae5-19b6-71d4124f4c46"
"File Was Not Allowed To Run","medium","applocker","","Detect run not allowed files. Applocker is a very useful tool, especially on servers where unprivileged users have access. For example terminal servers. You need configure applocker and log collect to receive these events.","da0e47f5-493f-9da4-b041-8eb762761118"
"Bits Job Created","informational","bits-client","","Adversaries may abuse BITS jobs to persistently execute or clean up after malicious payloads.","18e6fa4a-353d-42b6-975c-bb05dbf4a004"
"BITS Transfer Job Downloading File Potential Suspicious Extension","medium","bits-client","","Detects new BITS transfer job saving local files with potential suspicious extensions","b37c7d8f-22b8-a92d-1d1c-593de0fa759e"
"BITS Transfer Job With Uncommon Or Suspicious Remote TLD","medium","bits-client","","Detects a suspicious download using the BITS client from a FQDN that is unusual. Adversaries may abuse BITS jobs to persistently execute or clean up after malicious payloads.","8a389ad3-d0c7-ef8c-1fb3-5bb7e31bcf7f"
"BITS Transfer Job Download To Potential Suspicious Folder","high","bits-client","","Detects new BITS transfer job where the LocalName/Saved file is stored in a potentially suspicious location","26844668-ef48-7a97-5687-9533e59288b7"
"BITS Transfer Job Download From Direct IP","high","bits-client","","Detects a BITS transfer job downloading file(s) from a direct IP address.","5e8a986a-7579-0482-f86e-ad63f6341cd1"
"New BITS Job Created Via Bitsadmin","low","bits-client","","Detects the creation of a new bits job by Bitsadmin","f72c1543-44f6-f836-c0da-9bab33600dac"
"BITS Transfer Job Download From File Sharing Domains","high","bits-client","","Detects BITS transfer job downloading files from a file sharing domain.","4f9e9e60-c580-dd4e-4f06-42a016217d0e"
"New BITS Job Created Via PowerShell","low","bits-client","","Detects the creation of a new bits job by PowerShell","23d76ee6-e5fc-fb90-961a-4b412b97cc94"
"CodeIntegrity - Blocked Image Load With Revoked Certificate","high","codeintegrity-operational","","Detects blocked image load events with revoked certificates by code integrity.","6f9f7b5c-f44b-fe0a-bcb2-ff4a09bd4ccf"
"CodeIntegrity - Unsigned Kernel Module Loaded","high","codeintegrity-operational","","Detects the presence of a loaded unsigned kernel module on the system.","23f17a2b-73ca-e465-e823-bb1d47543f6d"
"CodeIntegrity - Blocked Driver Load With Revoked Certificate","high","codeintegrity-operational","","Detects blocked load attempts of revoked drivers","3838c754-9c4c-f500-6c7d-4c73b29717a9"
"CodeIntegrity - Unmet Signing Level Requirements By File Under Validation","low","codeintegrity-operational","","Detects attempted file load events that did not meet the signing level requirements. It often means the file's signature is revoked or a signature with the Lifetime Signing EKU has expired.
This event is best correlated with EID 3089 to determine the error of the validation.
","f45ca591-7575-818e-9a07-7493461a33c3"
"CodeIntegrity - Unmet WHQL Requirements For Loaded Kernel Module","high","codeintegrity-operational","","Detects loaded kernel modules that did not meet the WHQL signing requirements.","b1f60092-6ced-8775-b5dd-ac15a042e292"
"CodeIntegrity - Unsigned Image Loaded","high","codeintegrity-operational","","Detects loaded unsigned image on the system","d6ea0e4a-9918-a082-1c5d-bd5d2a4f0b76"
"CodeIntegrity - Blocked Image/Driver Load For Policy Violation","high","codeintegrity-operational","","Detects blocked load events that did not meet the authenticode signing level requirements or violated the code integrity policy.","a4736e84-f507-2e6b-bc7a-573328447cbf"
"CodeIntegrity - Disallowed File For Protected Processes Has Been Blocked","high","codeintegrity-operational","","Detects block events for files that are disallowed by code integrity for protected processes","c2644e00-b2a8-1e98-7dfc-bbef3a929767"
"CodeIntegrity - Revoked Image Loaded","high","codeintegrity-operational","","Detects image load events with revoked certificates by code integrity.","4d4c3fb7-504c-7089-2bb3-26781191b7eb"
"CodeIntegrity - Revoked Kernel Driver Loaded","high","codeintegrity-operational","","Detects the load of a revoked kernel driver","4764bb53-3383-ae11-5351-b67f0001d2a5"
"Loading Diagcab Package From Remote Path","high","diagnosis-scripted","","Detects loading of diagcab packages from a remote path, as seen in DogWalk vulnerability","b0e8486c-73f6-e1ba-9684-acba841c2719"
"USB Plugged In","informational","driver-framework","","","b39b18a5-cece-4e7d-a438-827d0b0e8a82"
"USB Device Plugged","low","driver-framework","","Detects plugged/unplugged USB devices","12717514-9380-dabc-12b9-113f524ec3ac"
"New Firewall Rule Added In Windows Firewall Exception List For Potential Suspicious Application","high","firewall-as","","Detects the addition of a new rule to the Windows Firewall exception list for an application located in a potentially suspicious location.","bf17c34a-7b9d-65a8-a143-afa9c13e1fe4"
"The Windows Defender Firewall Service Failed To Load Group Policy","low","firewall-as","","Detects activity when The Windows Defender Firewall service failed to load Group Policy","33a69619-460b-90f5-19b1-2f34036caf0a"
"All Rules Have Been Deleted From The Windows Firewall Configuration","high","firewall-as","","Detects when a all the rules have been deleted from the Windows Defender Firewall configuration","3623c339-f1c5-67f2-a5a2-ddb078d75f69"
"Windows Firewall Settings Have Been Changed","low","firewall-as","","Detects activity when the settings of the Windows firewall have been changed","a0062bfc-2eba-05df-e231-f4a44b1317ab"
"Uncommon New Firewall Rule Added In Windows Firewall Exception List","medium","firewall-as","","Detects when a rule has been added to the Windows Firewall exception list","a1dbd390-a4c5-755a-1b1f-a76aabbecbbc"
"New Firewall Rule Added In Windows Firewall Exception List Via WmiPrvSE.EXE","medium","firewall-as","","Detects the addition of a new ""Allow"" firewall rule by the WMI process (WmiPrvSE.EXE).
This can occur if an attacker leverages PowerShell cmdlets such as ""New-NetFirewallRule"", or directly uses WMI CIM classes such as ""MSFT_NetFirewallRule"".
","ac6e5dab-06d1-5064-a91c-0eb6246d22bd"
"Windows Defender Firewall Has Been Reset To Its Default Configuration","low","firewall-as","","Detects activity when Windows Defender Firewall has been reset to its default configuration","e2592615-38d5-5099-c59f-83ab34a11d9a"
"A Rule Has Been Deleted From The Windows Firewall Exception List","medium","firewall-as","","Detects when a single rules or all of the rules have been deleted from the Windows Defender Firewall","55827aab-4062-032f-35e7-2406dc57c35e"
"Firewall Rule Modified In The Windows Firewall Exception List","low","firewall-as","","Detects when a rule has been modified in the Windows firewall exception list","5d551ac6-b825-b536-7ec6-75339fc57a25"
"Loading Diagcab Package From Remote Path","high","diagnosis-scripted","","Detects loading of diagcab packages from a remote path, as seen in DogWalk vulnerability","b0e8486c-73f6-e1ba-9684-acba841c2719"
