"Category","SubCategory","RuleCount","RuleCountByLevel","DefaultSetting","CurrentSetting","RecommendedSetting","Volume","Note"
"Application","","30","critical:1, high:16, medium:7, low:5, info:1","Enabled","Enabled","Enabled","",""
"Applocker","","1","critical:0, high:0, medium:1, low:0, info:0","Enabled","Enabled","Enabled","","Enabled if AppLocker is enabled?"
"Bits-Client Operational","","8","critical:0, high:3, medium:2, low:2, info:1","Enabled","Enabled","Enabled","",""
"CodeIntegrity Operational","","10","critical:0, high:9, medium:0, low:1, info:0","Enabled","Enabled","Enabled","",""
"Diagnosis-Scripted Operational","","1","critical:0, high:1, medium:0, low:0, info:0","Enabled","Enabled","Enabled","",""
"DriverFrameworks-UserMode Operational","","2","critical:0, high:0, medium:0, low:1, info:1","Enabled","Enabled","Enabled","",""
"Firewall","","9","critical:0, high:2, medium:3, low:4, info:0","Enabled","Enabled","Enabled","",""
"Microsoft-Windows-NTLM/Operational","","1","critical:0, high:1, medium:0, low:0, info:0","Enabled","Enabled","Enabled","","This log is recommended to enable if you want to disable NTLM authentication"
"PowerShell","Classic","21","critical:0, high:5, medium:11, low:4, info:1","Enabled","Enabled","Enabled","",""
"PowerShell","Module","43","critical:1, high:20, medium:15, low:5, info:2","No Auditing","Enabled","Enabled","High",""
"PowerShell","ScriptBlock","194","critical:3, high:66, medium:100, low:24, info:1","Partially Enabled","Enabled","Enabled","High","On Win 10/2016+, if a PowerShell script is flagged as suspicious by AMSI, it will be logged with a level of Warning in default setting"
"PrintService","PrintService Admin","1","critical:0, high:1, medium:0, low:0, info:0","Enabled","Enabled","Enabled","",""
"PrintService","PrintService Operational","1","critical:1, high:0, medium:0, low:0, info:0","Enabled","Enabled","Enabled","",""
"Security Advanced (Account Logon)","Credential Validation","7","critical:0, high:2, medium:4, low:0, info:1","Client OS: No Auditing | Server OS: Success","Success and Failure","Client and Server OSes: Success and Failure","Depends on NTLM usage. Could be high on DCs and low on clients and servers.",""
"Security Advanced (Account Logon)","Kerberos Authentication Service","7","critical:0, high:2, medium:4, low:0, info:1","Client OS: No Auditing | Server OS: Success","Success and Failure","Client OS: No Auditing | Server OS: Success and Failure","High",""
"Security Advanced (Account Logon)","Kerberos Service Ticket Operations","5","critical:0, high:1, medium:3, low:0, info:1","Client OS: No Auditing | Server OS: Success","Success and Failure","Domain Controllers: Success and Failure","High",""
"Security Advanced (Account Management)","Computer Account Management","4","critical:0, high:1, medium:1, low:1, info:1","Client OS: No Auditing | Server OS: Success","Success and Failure","Domain Controllers: Success and Failure","High",""
"Security Advanced (Account Management)","Other Account Management Events","0","critical:0, high:0, medium:0, low:0, info:0","No Auditing","Success and Failure","Success and Failure","Low",""
"Security Advanced (Account Management)","Security Group Management","12","critical:0, high:5, medium:2, low:5, info:0","No Auditing","Success and Failure","Success and Failure","Low",""
"Security Advanced (Account Management)","User Account Management","13","critical:0, high:7, medium:4, low:2, info:0","No Auditing","Success and Failure","Success and Failure","Low",""
"Security Advanced (Detailed Tracking)","Plug and Play Events","2","critical:0, high:0, medium:1, low:1, info:0","No Auditing","Success and Failure","Success and Failure","Low",""
"Security Advanced (Detailed Tracking)","Process Creation","1306","critical:70, high:620, medium:534, low:79, info:3","No Auditing","Success and Failure","Success and Failure","High","if sysmon is not configured"
"Security Advanced (Detailed Tracking)","Process Termination","1","critical:0, high:1, medium:0, low:0, info:0","No Auditing","No Auditing","No Auditing","High","unless you want to track the lifespan of processes"
"Security Advanced (Detailed Tracking)","RPC Events","0","critical:0, high:0, medium:0, low:0, info:0","No Auditing","Success and Failure","","High on RPC servers (According to Microsoft)",""
"Security Advanced (Detailed Tracking)","Token Right Adjusted Events","0","critical:0, high:0, medium:0, low:0, info:0","No Auditing","Success and Failure","","",""
"Security Advanced (DS Access)","Directory Service Access","9","critical:2, high:4, medium:3, low:0, info:0","Client OS: No Auditing | Server OS: Success","Success and Failure","Client OS: No Auditing | ADDS Server: Success and Failure","High",""
"Security Advanced (DS Access)","Directory Service Changes","9","critical:0, high:5, medium:3, low:0, info:1","No Auditing","Success and Failure","Client OS: No Auditing | ADDS Server: Success and Failure","High",""
"Security Advanced (Logon/Logoff)","Account Lockout","17","critical:0, high:3, medium:11, low:3, info:0","Success","Success and Failure","Success and Failure","Low",""
"Security Advanced (Logon/Logoff)","Group Membership","0","critical:0, high:0, medium:0, low:0, info:0","No Auditing","No Auditing","No Auditing","Adds an extra 4627 event to every logon",""
"Security Advanced (Logon/Logoff)","Logoff","4","critical:0, high:0, medium:0, low:0, info:4","Success","Success and Failure","Success","",""
"Security Advanced (Logon/Logoff)","Logon","55","critical:1, high:9, medium:22, low:6, info:17","Client OS: Success | Server OS: Success and Failure","Success and Failure","Success and Failure","Low on clients, medium on DCs or network servers",""
"Security Advanced (Logon/Logoff)","Other Logon/Logoff Events","4","critical:0, high:1, medium:0, low:0, info:3","No Auditing","Success and Failure","Success and Failure","Low",""
"Security Advanced (Logon/Logoff)","Special Logon","2","critical:0, high:0, medium:0, low:1, info:1","Success","Success and Failure","Success and Failure","Low on clients. Medium on DC or network servers",""
"Security Advanced (Object Access)","Certification Services","2","critical:0, high:1, medium:0, low:1, info:0","No Auditing","Success and Failure","Success and Failure for AD CS role servers","Low to medium",""
